,Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Date,Quater,Month,Profit
819,31-03-2022,South America,Antivirus,Partner,Business,7659.0,19,919.0,No,2022-03-31,1,March,6740.0
820,01-04-2022,North America,Database,Partner,Business,5157.0,8,1415.0,No,2022-04-01,2,April,3742.0
821,02-04-2022,South America,DevTools,Partner,Business,5612.0,1,1110.0,No,2022-04-02,2,April,4502.0
822,03-04-2022,Europe,DevTools,Partner,Consumer,4171.0,3,1162.0,Yes,2022-04-03,2,April,3009.0
823,04-04-2022,Asia,Database,Direct Sales,Consumer,4657.0,5,591.0,No,2022-04-04,2,April,4066.0
824,05-04-2022,North America,DevTools,Direct Sales,Consumer,1249.0,18,708.0,Yes,2022-04-05,2,April,541.0
825,06-04-2022,Australia,CRM,Direct Sales,Consumer,6762.0,12,1090.0,Yes,2022-04-06,2,April,5672.0
826,07-04-2022,Europe,Database,Online,Consumer,4381.0,12,1550.0,Yes,2022-04-07,2,April,2831.0
827,08-04-2022,South America,CRM,Online,Business,8186.0,19,572.0,No,2022-04-08,2,April,7614.0
828,09-04-2022,Europe,CRM,Direct Sales,Business,2043.0,9,1002.0,No,2022-04-09,2,April,1041.0
829,10-04-2022,North America,ERP,Online,Consumer,2130.0,11,1543.0,Yes,2022-04-10,2,April,587.0
830,11-04-2022,South America,Database,Online,Consumer,6493.0,17,1688.0,Yes,2022-04-11,2,April,4805.0
831,12-04-2022,Asia,DevTools,Partner,Business,8475.0,16,785.0,No,2022-04-12,2,April,7690.0
832,13-04-2022,Europe,CRM,Partner,Consumer,4775.0,4,1597.0,No,2022-04-13,2,April,3178.0
833,14-04-2022,North America,ERP,Online,Business,7297.0,10,1933.0,No,2022-04-14,2,April,5364.0
834,15-04-2022,Australia,Database,Online,Consumer,9993.0,15,1860.0,No,2022-04-15,2,April,8133.0
835,16-04-2022,South America,Database,Direct Sales,Business,9904.0,19,1684.0,No,2022-04-16,2,April,8220.0
836,17-04-2022,Europe,Antivirus,Online,Consumer,7469.0,3,1568.0,No,2022-04-17,2,April,5901.0
837,18-04-2022,Europe,Antivirus,Partner,Consumer,7422.0,5,853.0,No,2022-04-18,2,April,6569.0
838,19-04-2022,Asia,CRM,Online,Business,2551.0,11,1451.0,Yes,2022-04-19,2,April,1100.0
839,20-04-2022,Asia,Antivirus,Direct Sales,Business,8352.0,5,1465.0,Yes,2022-04-20,2,April,6887.0
840,21-04-2022,Australia,CRM,Partner,Consumer,4111.0,7,1110.0,No,2022-04-21,2,April,3001.0
841,22-04-2022,Australia,DevTools,Partner,Consumer,9624.0,6,1240.0,No,2022-04-22,2,April,8384.0
842,23-04-2022,North America,CRM,Partner,Business,906.0,13,1541.0,Yes,2022-04-23,2,April,-635.0
843,24-04-2022,North America,Antivirus,Partner,Consumer,4415.0,2,1928.0,No,2022-04-24,2,April,2487.0
844,25-04-2022,Australia,DevTools,Online,Business,5603.0,19,943.0,Yes,2022-04-25,2,April,4660.0
845,26-04-2022,Australia,Antivirus,Direct Sales,Business,4111.0,11,870.0,Yes,2022-04-26,2,April,3241.0
846,27-04-2022,South America,CRM,Online,Consumer,2185.0,5,1403.0,No,2022-04-27,2,April,782.0
847,28-04-2022,Asia,ERP,Online,Business,5971.0,9,696.0,Yes,2022-04-28,2,April,5275.0
848,29-04-2022,North America,Database,Partner,Business,7584.0,6,1374.0,No,2022-04-29,2,April,6210.0
849,30-04-2022,Asia,Antivirus,Direct Sales,Consumer,6484.0,17,633.0,No,2022-04-30,2,April,5851.0
850,01-05-2022,Asia,CRM,Partner,Business,2421.0,19,1236.0,Yes,2022-05-01,2,May,1185.0
851,02-05-2022,Australia,DevTools,Online,Business,7343.0,8,1431.0,Yes,2022-05-02,2,May,5912.0
852,03-05-2022,South America,Antivirus,Online,Business,2643.0,7,605.0,Yes,2022-05-03,2,May,2038.0
853,04-05-2022,Europe,Antivirus,Partner,Business,1835.0,5,810.0,No,2022-05-04,2,May,1025.0
854,05-05-2022,South America,Database,Online,Consumer,6938.0,15,1003.0,No,2022-05-05,2,May,5935.0
855,06-05-2022,South America,CRM,Online,Business,8444.0,10,1053.0,No,2022-05-06,2,May,7391.0
856,07-05-2022,Asia,ERP,Partner,Consumer,4867.0,16,1514.0,No,2022-05-07,2,May,3353.0
857,08-05-2022,South America,DevTools,Online,Business,5361.0,9,1294.0,No,2022-05-08,2,May,4067.0
858,09-05-2022,North America,CRM,Direct Sales,Consumer,3097.0,7,1073.0,No,2022-05-09,2,May,2024.0
859,10-05-2022,Asia,DevTools,Partner,Business,4997.0,11,1176.0,No,2022-05-10,2,May,3821.0
860,11-05-2022,North America,Antivirus,Direct Sales,Consumer,1407.0,9,519.0,Yes,2022-05-11,2,May,888.0
861,12-05-2022,Europe,Database,Online,Business,9563.0,17,1656.0,No,2022-05-12,2,May,7907.0
862,13-05-2022,Asia,Database,Online,Business,8024.0,9,562.0,Yes,2022-05-13,2,May,7462.0
863,14-05-2022,Europe,ERP,Partner,Business,6713.0,3,1744.0,Yes,2022-05-14,2,May,4969.0
864,15-05-2022,Asia,Database,Online,Business,5428.0,8,1311.0,No,2022-05-15,2,May,4117.0
865,16-05-2022,Australia,Antivirus,Partner,Consumer,7942.0,19,1292.0,Yes,2022-05-16,2,May,6650.0
866,17-05-2022,South America,ERP,Partner,Consumer,4998.0,16,1557.0,Yes,2022-05-17,2,May,3441.0
867,18-05-2022,Australia,CRM,Partner,Business,3070.0,7,1789.0,Yes,2022-05-18,2,May,1281.0
868,19-05-2022,Europe,Database,Partner,Consumer,1688.0,7,1914.0,No,2022-05-19,2,May,-226.0
869,20-05-2022,South America,ERP,Partner,Business,6511.0,13,1315.0,Yes,2022-05-20,2,May,5196.0
870,21-05-2022,Asia,Antivirus,Direct Sales,Business,9301.0,3,726.0,No,2022-05-21,2,May,8575.0
871,22-05-2022,South America,DevTools,Partner,Consumer,1621.0,12,1818.0,No,2022-05-22,2,May,-197.0
872,23-05-2022,North America,DevTools,Direct Sales,Consumer,1882.0,8,561.0,No,2022-05-23,2,May,1321.0
873,24-05-2022,South America,Antivirus,Online,Consumer,4393.0,13,1711.0,Yes,2022-05-24,2,May,2682.0
874,25-05-2022,North America,Antivirus,Partner,Business,8088.0,16,1521.0,Yes,2022-05-25,2,May,6567.0
875,26-05-2022,South America,DevTools,Online,Business,3010.0,7,1857.0,No,2022-05-26,2,May,1153.0
876,27-05-2022,North America,ERP,Partner,Consumer,2614.0,4,1846.0,No,2022-05-27,2,May,768.0
877,28-05-2022,Europe,DevTools,Direct Sales,Business,6238.0,12,580.0,No,2022-05-28,2,May,5658.0
878,29-05-2022,Australia,Antivirus,Direct Sales,Consumer,5403.0,17,1414.0,Yes,2022-05-29,2,May,3989.0
879,30-05-2022,Asia,Database,Direct Sales,Consumer,696.0,1,687.0,Yes,2022-05-30,2,May,9.0
880,31-05-2022,South America,CRM,Online,Consumer,907.0,17,618.0,Yes,2022-05-31,2,May,289.0
881,01-06-2022,Australia,Database,Partner,Consumer,6466.0,2,1172.0,Yes,2022-06-01,2,June,5294.0
882,02-06-2022,Asia,Database,Online,Consumer,4705.0,6,646.0,Yes,2022-06-02,2,June,4059.0
883,03-06-2022,Asia,Antivirus,Direct Sales,Consumer,9713.0,12,1592.0,Yes,2022-06-03,2,June,8121.0
884,04-06-2022,North America,DevTools,Online,Business,6817.0,11,1953.0,Yes,2022-06-04,2,June,4864.0
885,05-06-2022,Europe,ERP,Direct Sales,Business,200.0,11,1354.0,No,2022-06-05,2,June,-1154.0
886,06-06-2022,Europe,Database,Direct Sales,Consumer,4862.0,18,853.0,Yes,2022-06-06,2,June,4009.0
887,07-06-2022,Australia,DevTools,Direct Sales,Consumer,4203.0,8,1765.0,No,2022-06-07,2,June,2438.0
888,08-06-2022,Europe,ERP,Partner,Consumer,1156.0,7,1780.0,Yes,2022-06-08,2,June,-624.0
889,09-06-2022,South America,Database,Partner,Business,9240.0,14,1599.0,No,2022-06-09,2,June,7641.0
890,10-06-2022,Europe,ERP,Direct Sales,Consumer,8070.0,16,1423.0,Yes,2022-06-10,2,June,6647.0
891,11-06-2022,Australia,DevTools,Online,Consumer,2378.0,12,1802.0,Yes,2022-06-11,2,June,576.0
892,12-06-2022,Europe,CRM,Online,Consumer,2634.0,9,745.0,Yes,2022-06-12,2,June,1889.0
893,13-06-2022,South America,DevTools,Partner,Business,417.0,16,1897.0,No,2022-06-13,2,June,-1480.0
894,14-06-2022,North America,Antivirus,Direct Sales,Consumer,3038.0,19,1921.0,Yes,2022-06-14,2,June,1117.0
895,15-06-2022,Australia,ERP,Online,Business,5888.0,16,1808.0,Yes,2022-06-15,2,June,4080.0
896,16-06-2022,North America,CRM,Direct Sales,Business,4266.0,9,876.0,No,2022-06-16,2,June,3390.0
897,17-06-2022,North America,ERP,Online,Consumer,9696.0,13,1787.0,Yes,2022-06-17,2,June,7909.0
898,18-06-2022,North America,ERP,Partner,Business,655.0,5,1246.0,Yes,2022-06-18,2,June,-591.0
899,19-06-2022,Asia,Database,Direct Sales,Business,5955.0,19,1392.0,No,2022-06-19,2,June,4563.0
900,20-06-2022,Asia,Antivirus,Direct Sales,Business,8597.0,10,1761.0,Yes,2022-06-20,2,June,6836.0
901,21-06-2022,North America,ERP,Online,Consumer,4859.0,7,544.0,No,2022-06-21,2,June,4315.0
902,22-06-2022,Australia,DevTools,Online,Business,129.0,9,1044.0,No,2022-06-22,2,June,-915.0
903,23-06-2022,South America,DevTools,Online,Consumer,2504.0,14,1724.0,No,2022-06-23,2,June,780.0
904,24-06-2022,South America,Database,Direct Sales,Consumer,3305.0,15,1721.0,Yes,2022-06-24,2,June,1584.0
905,25-06-2022,Europe,Antivirus,Partner,Consumer,9663.0,13,1773.0,Yes,2022-06-25,2,June,7890.0
906,26-06-2022,Australia,Antivirus,Partner,Business,9127.0,10,754.0,No,2022-06-26,2,June,8373.0
907,27-06-2022,Asia,DevTools,Online,Consumer,9497.0,14,1559.0,No,2022-06-27,2,June,7938.0
908,28-06-2022,North America,CRM,Partner,Business,8275.0,12,720.0,Yes,2022-06-28,2,June,7555.0
909,29-06-2022,Europe,Database,Online,Business,3581.0,19,1678.0,Yes,2022-06-29,2,June,1903.0
910,30-06-2022,South America,Database,Partner,Business,9068.0,6,868.0,Yes,2022-06-30,2,June,8200.0
911,01-07-2022,Asia,DevTools,Direct Sales,Business,9819.0,12,1607.0,No,2022-07-01,3,July,8212.0
912,02-07-2022,Asia,DevTools,Online,Consumer,3566.0,13,1183.0,Yes,2022-07-02,3,July,2383.0
913,03-07-2022,North America,CRM,Partner,Consumer,2680.0,8,1979.0,No,2022-07-03,3,July,701.0
914,04-07-2022,South America,CRM,Direct Sales,Business,5514.0,16,1370.0,No,2022-07-04,3,July,4144.0
915,05-07-2022,Australia,Antivirus,Partner,Consumer,1953.0,2,1449.0,Yes,2022-07-05,3,July,504.0
916,06-07-2022,Asia,Database,Direct Sales,Consumer,423.0,7,1052.0,Yes,2022-07-06,3,July,-629.0
917,07-07-2022,North America,Database,Direct Sales,Consumer,9464.0,12,1602.0,No,2022-07-07,3,July,7862.0
918,08-07-2022,Australia,DevTools,Partner,Business,9265.0,7,1242.0,No,2022-07-08,3,July,8023.0
919,09-07-2022,South America,Antivirus,Partner,Consumer,1710.0,19,527.0,Yes,2022-07-09,3,July,1183.0
920,10-07-2022,Asia,Database,Direct Sales,Business,4137.0,14,1413.0,No,2022-07-10,3,July,2724.0
921,11-07-2022,Australia,Antivirus,Direct Sales,Consumer,8327.0,9,1746.0,Yes,2022-07-11,3,July,6581.0
922,12-07-2022,Australia,Antivirus,Direct Sales,Business,6644.0,18,855.0,Yes,2022-07-12,3,July,5789.0
923,13-07-2022,Australia,DevTools,Online,Business,4008.0,11,832.0,No,2022-07-13,3,July,3176.0
924,14-07-2022,Asia,Antivirus,Direct Sales,Business,7467.0,16,1413.0,No,2022-07-14,3,July,6054.0
925,15-07-2022,Asia,CRM,Online,Consumer,8981.0,19,1727.0,Yes,2022-07-15,3,July,7254.0
926,16-07-2022,Europe,CRM,Direct Sales,Business,9269.0,11,874.0,No,2022-07-16,3,July,8395.0
927,17-07-2022,South America,ERP,Online,Consumer,3851.0,18,1898.0,No,2022-07-17,3,July,1953.0
928,18-07-2022,North America,DevTools,Direct Sales,Business,1818.0,11,1891.0,Yes,2022-07-18,3,July,-73.0
929,19-07-2022,Australia,ERP,Direct Sales,Consumer,9137.0,4,801.0,No,2022-07-19,3,July,8336.0
930,20-07-2022,Europe,CRM,Direct Sales,Business,1016.0,18,896.0,Yes,2022-07-20,3,July,120.0
931,21-07-2022,North America,ERP,Partner,Consumer,7245.0,19,1551.0,No,2022-07-21,3,July,5694.0
932,22-07-2022,Europe,DevTools,Partner,Business,1491.0,13,1928.0,Yes,2022-07-22,3,July,-437.0
933,23-07-2022,Asia,DevTools,Direct Sales,Business,3955.0,4,1565.0,No,2022-07-23,3,July,2390.0
934,24-07-2022,Australia,Antivirus,Online,Business,4174.0,10,1167.0,No,2022-07-24,3,July,3007.0
935,25-07-2022,North America,Database,Online,Consumer,1672.0,5,754.0,No,2022-07-25,3,July,918.0
936,26-07-2022,North America,Antivirus,Direct Sales,Business,9235.0,3,1192.0,No,2022-07-26,3,July,8043.0
937,27-07-2022,North America,DevTools,Partner,Business,126.0,16,1410.0,No,2022-07-27,3,July,-1284.0
938,28-07-2022,North America,CRM,Online,Business,8949.0,8,996.0,No,2022-07-28,3,July,7953.0
939,29-07-2022,North America,CRM,Partner,Business,8850.0,7,1265.0,No,2022-07-29,3,July,7585.0
940,30-07-2022,Europe,Antivirus,Online,Consumer,3238.0,19,695.0,No,2022-07-30,3,July,2543.0
941,31-07-2022,Australia,DevTools,Direct Sales,Business,7072.0,14,1178.0,Yes,2022-07-31,3,July,5894.0
942,01-08-2022,Asia,CRM,Partner,Business,2603.0,15,636.0,No,2022-08-01,3,August,1967.0
943,02-08-2022,Asia,DevTools,Online,Consumer,7612.0,17,574.0,No,2022-08-02,3,August,7038.0
944,03-08-2022,Asia,CRM,Direct Sales,Consumer,5655.0,1,1786.0,No,2022-08-03,3,August,3869.0
945,04-08-2022,Asia,DevTools,Direct Sales,Consumer,3072.0,6,808.0,No,2022-08-04,3,August,2264.0
946,05-08-2022,Europe,ERP,Direct Sales,Business,4062.0,15,1363.0,No,2022-08-05,3,August,2699.0
947,06-08-2022,South America,DevTools,Partner,Consumer,6930.0,12,723.0,Yes,2022-08-06,3,August,6207.0
948,07-08-2022,Australia,DevTools,Partner,Consumer,9070.0,2,894.0,Yes,2022-08-07,3,August,8176.0
949,08-08-2022,North America,Antivirus,Direct Sales,Consumer,1394.0,5,1042.0,No,2022-08-08,3,August,352.0
950,09-08-2022,South America,ERP,Partner,Business,5757.0,9,716.0,No,2022-08-09,3,August,5041.0
951,10-08-2022,Asia,Database,Online,Business,2612.0,14,569.0,No,2022-08-10,3,August,2043.0
952,11-08-2022,South America,Antivirus,Direct Sales,Business,8034.0,18,1816.0,No,2022-08-11,3,August,6218.0
953,12-08-2022,Australia,Database,Direct Sales,Consumer,795.0,8,518.0,Yes,2022-08-12,3,August,277.0
954,13-08-2022,North America,CRM,Partner,Business,6921.0,2,592.0,No,2022-08-13,3,August,6329.0
955,14-08-2022,North America,Database,Direct Sales,Consumer,1832.0,9,1708.0,Yes,2022-08-14,3,August,124.0
956,15-08-2022,Australia,DevTools,Online,Consumer,6004.0,7,923.0,No,2022-08-15,3,August,5081.0
957,16-08-2022,Australia,Database,Partner,Consumer,8373.0,18,1584.0,Yes,2022-08-16,3,August,6789.0
958,17-08-2022,Asia,Antivirus,Partner,Business,7575.0,16,719.0,Yes,2022-08-17,3,August,6856.0
959,18-08-2022,North America,Antivirus,Direct Sales,Consumer,7554.0,5,856.0,Yes,2022-08-18,3,August,6698.0
960,19-08-2022,South America,Database,Direct Sales,Consumer,5227.0,15,1359.0,No,2022-08-19,3,August,3868.0
961,20-08-2022,Europe,Antivirus,Direct Sales,Business,8918.0,5,1983.0,No,2022-08-20,3,August,6935.0
962,21-08-2022,Europe,Antivirus,Partner,Consumer,5922.0,11,610.0,No,2022-08-21,3,August,5312.0
963,22-08-2022,Australia,Database,Direct Sales,Consumer,9183.0,14,1101.0,No,2022-08-22,3,August,8082.0
964,23-08-2022,Asia,ERP,Online,Consumer,5511.0,19,565.0,No,2022-08-23,3,August,4946.0
965,24-08-2022,Europe,ERP,Direct Sales,Business,5109.0,3,799.0,Yes,2022-08-24,3,August,4310.0
966,25-08-2022,North America,CRM,Direct Sales,Consumer,2301.0,10,1861.0,Yes,2022-08-25,3,August,440.0
967,26-08-2022,Australia,Antivirus,Partner,Business,5493.0,6,645.0,Yes,2022-08-26,3,August,4848.0
968,27-08-2022,South America,Database,Direct Sales,Business,1492.0,3,1785.0,No,2022-08-27,3,August,-293.0
969,28-08-2022,Australia,Antivirus,Partner,Consumer,8710.0,2,767.0,Yes,2022-08-28,3,August,7943.0
970,29-08-2022,South America,DevTools,Direct Sales,Consumer,6791.0,13,1793.0,No,2022-08-29,3,August,4998.0
971,30-08-2022,Australia,Antivirus,Online,Consumer,9937.0,18,1307.0,Yes,2022-08-30,3,August,8630.0
972,31-08-2022,Australia,Antivirus,Online,Consumer,1012.0,2,1817.0,No,2022-08-31,3,August,-805.0
973,01-09-2022,Australia,ERP,Partner,Business,2483.0,15,728.0,Yes,2022-09-01,3,September,1755.0
974,02-09-2022,South America,Database,Partner,Business,8784.0,5,1643.0,No,2022-09-02,3,September,7141.0
975,03-09-2022,South America,Antivirus,Direct Sales,Consumer,4013.0,15,1521.0,Yes,2022-09-03,3,September,2492.0
976,04-09-2022,Australia,ERP,Direct Sales,Business,4716.0,17,1314.0,Yes,2022-09-04,3,September,3402.0
977,05-09-2022,Europe,CRM,Online,Consumer,8620.0,2,1716.0,Yes,2022-09-05,3,September,6904.0
978,06-09-2022,Asia,ERP,Direct Sales,Consumer,5266.0,18,1472.0,No,2022-09-06,3,September,3794.0
979,07-09-2022,Asia,ERP,Online,Consumer,2015.0,15,1816.0,Yes,2022-09-07,3,September,199.0
980,08-09-2022,Asia,ERP,Partner,Consumer,8931.0,3,1072.0,Yes,2022-09-08,3,September,7859.0
981,09-09-2022,South America,Antivirus,Direct Sales,Business,408.0,5,1385.0,Yes,2022-09-09,3,September,-977.0
982,10-09-2022,South America,Antivirus,Partner,Business,8964.0,11,1806.0,No,2022-09-10,3,September,7158.0
983,11-09-2022,Europe,CRM,Direct Sales,Consumer,600.0,9,822.0,Yes,2022-09-11,3,September,-222.0
984,12-09-2022,Asia,DevTools,Online,Consumer,6692.0,5,1229.0,No,2022-09-12,3,September,5463.0
985,13-09-2022,Asia,DevTools,Partner,Business,810.0,1,1941.0,Yes,2022-09-13,3,September,-1131.0
986,14-09-2022,Australia,DevTools,Partner,Business,7092.0,14,1210.0,Yes,2022-09-14,3,September,5882.0
987,15-09-2022,South America,CRM,Direct Sales,Business,436.0,5,879.0,No,2022-09-15,3,September,-443.0
988,16-09-2022,Asia,DevTools,Partner,Consumer,8440.0,8,1027.0,No,2022-09-16,3,September,7413.0
989,17-09-2022,Europe,DevTools,Online,Business,4713.0,14,1828.0,Yes,2022-09-17,3,September,2885.0
990,18-09-2022,Europe,ERP,Partner,Consumer,1025.0,16,1932.0,No,2022-09-18,3,September,-907.0
991,19-09-2022,Asia,Antivirus,Partner,Consumer,7098.0,6,1925.0,No,2022-09-19,3,September,5173.0
992,20-09-2022,South America,Antivirus,Direct Sales,Business,4944.0,8,1548.0,No,2022-09-20,3,September,3396.0
993,21-09-2022,Europe,ERP,Partner,Consumer,1990.0,2,1264.0,Yes,2022-09-21,3,September,726.0
994,22-09-2022,Australia,ERP,Direct Sales,Business,255.0,19,774.0,Yes,2022-09-22,3,September,-519.0
995,23-09-2022,Europe,ERP,Direct Sales,Consumer,4238.0,9,685.0,Yes,2022-09-23,3,September,3553.0
996,24-09-2022,North America,Antivirus,Partner,Consumer,948.0,5,590.0,No,2022-09-24,3,September,358.0
997,25-09-2022,North America,DevTools,Online,Consumer,1032.0,5,527.0,No,2022-09-25,3,September,505.0
998,26-09-2022,South America,ERP,Direct Sales,Consumer,2747.0,19,1817.0,No,2022-09-26,3,September,930.0
999,27-09-2022,Asia,CRM,Partner,Consumer,6342.0,4,1714.0,No,2022-09-27,3,September,4628.0
1000,28-09-2022,South America,ERP,Direct Sales,Consumer,5346.0,16,1352.0,Yes,2022-09-28,3,September,3994.0
1001,29-09-2022,South America,Database,Online,Business,783.0,16,1998.0,No,2022-09-29,3,September,-1215.0
1002,30-09-2022,South America,ERP,Online,Business,9687.0,16,1930.0,Yes,2022-09-30,3,September,7757.0
1003,01-10-2022,South America,Antivirus,Direct Sales,Consumer,8883.0,7,1483.0,No,2022-10-01,4,October,7400.0
1004,02-10-2022,Australia,ERP,Online,Business,2666.0,18,1197.0,Yes,2022-10-02,4,October,1469.0
1005,03-10-2022,Australia,Database,Partner,Consumer,1311.0,1,728.0,Yes,2022-10-03,4,October,583.0
1006,04-10-2022,Europe,CRM,Partner,Business,9430.0,3,1273.0,No,2022-10-04,4,October,8157.0
1007,05-10-2022,North America,DevTools,Direct Sales,Business,4665.0,8,737.0,No,2022-10-05,4,October,3928.0
1008,06-10-2022,South America,ERP,Online,Consumer,3181.0,1,1098.0,No,2022-10-06,4,October,2083.0
1009,07-10-2022,Europe,Database,Partner,Business,4955.0,7,1914.0,Yes,2022-10-07,4,October,3041.0
1010,08-10-2022,North America,Database,Partner,Consumer,7750.0,7,1013.0,No,2022-10-08,4,October,6737.0
1011,09-10-2022,Asia,CRM,Partner,Business,1767.0,8,729.0,Yes,2022-10-09,4,October,1038.0
1012,10-10-2022,Australia,Antivirus,Direct Sales,Consumer,7698.0,19,1374.0,No,2022-10-10,4,October,6324.0
1013,11-10-2022,North America,ERP,Direct Sales,Business,7520.0,17,1404.0,Yes,2022-10-11,4,October,6116.0
1014,12-10-2022,Asia,Database,Partner,Consumer,5440.0,11,791.0,No,2022-10-12,4,October,4649.0
1015,13-10-2022,North America,CRM,Partner,Business,8672.0,15,795.0,Yes,2022-10-13,4,October,7877.0
1016,14-10-2022,Australia,DevTools,Online,Consumer,1408.0,9,1984.0,Yes,2022-10-14,4,October,-576.0
1017,15-10-2022,Australia,Database,Online,Business,5995.0,17,865.0,Yes,2022-10-15,4,October,5130.0
1018,16-10-2022,Europe,CRM,Online,Consumer,4548.0,11,1757.0,No,2022-10-16,4,October,2791.0
1019,17-10-2022,South America,Antivirus,Direct Sales,Business,4281.0,6,1205.0,Yes,2022-10-17,4,October,3076.0
1020,18-10-2022,North America,Antivirus,Partner,Consumer,2600.0,9,1152.0,No,2022-10-18,4,October,1448.0
1021,19-10-2022,North America,Database,Direct Sales,Business,3786.0,18,942.0,Yes,2022-10-19,4,October,2844.0
1022,20-10-2022,Asia,Database,Partner,Consumer,1171.0,2,1661.0,No,2022-10-20,4,October,-490.0
1023,21-10-2022,Australia,ERP,Online,Consumer,2591.0,4,1821.0,No,2022-10-21,4,October,770.0
1024,22-10-2022,North America,CRM,Online,Consumer,2792.0,18,892.0,Yes,2022-10-22,4,October,1900.0
1025,23-10-2022,Australia,Database,Online,Consumer,7235.0,1,643.0,Yes,2022-10-23,4,October,6592.0
1026,24-10-2022,North America,ERP,Online,Business,581.0,11,705.0,No,2022-10-24,4,October,-124.0
1027,25-10-2022,Europe,ERP,Partner,Business,6547.0,3,1689.0,Yes,2022-10-25,4,October,4858.0
1028,26-10-2022,South America,Database,Online,Business,2292.0,8,1154.0,No,2022-10-26,4,October,1138.0
1029,27-10-2022,North America,Antivirus,Partner,Consumer,910.0,5,698.0,No,2022-10-27,4,October,212.0
1030,28-10-2022,Australia,CRM,Partner,Consumer,3078.0,5,1010.0,No,2022-10-28,4,October,2068.0
1031,29-10-2022,Europe,CRM,Direct Sales,Consumer,2322.0,11,1271.0,No,2022-10-29,4,October,1051.0
1032,30-10-2022,North America,Antivirus,Online,Consumer,5565.0,12,1778.0,No,2022-10-30,4,October,3787.0
1033,31-10-2022,Asia,Database,Online,Consumer,3638.0,9,1463.0,No,2022-10-31,4,October,2175.0
1034,01-11-2022,South America,CRM,Direct Sales,Business,9663.0,13,764.0,No,2022-11-01,4,November,8899.0
1035,02-11-2022,North America,Database,Partner,Business,9639.0,3,738.0,No,2022-11-02,4,November,8901.0
1036,03-11-2022,Europe,Database,Online,Business,4493.0,13,1119.0,No,2022-11-03,4,November,3374.0
1037,04-11-2022,Asia,ERP,Partner,Consumer,7971.0,11,613.0,Yes,2022-11-04,4,November,7358.0
1038,05-11-2022,Europe,Antivirus,Direct Sales,Consumer,231.0,11,1633.0,No,2022-11-05,4,November,-1402.0
1039,06-11-2022,Europe,Database,Partner,Consumer,5523.0,7,1102.0,No,2022-11-06,4,November,4421.0
1040,07-11-2022,Asia,DevTools,Online,Consumer,7459.0,17,1015.0,No,2022-11-07,4,November,6444.0
1041,08-11-2022,Europe,Antivirus,Partner,Consumer,2248.0,16,1264.0,Yes,2022-11-08,4,November,984.0
1042,09-11-2022,Asia,CRM,Partner,Consumer,706.0,14,1563.0,Yes,2022-11-09,4,November,-857.0
1043,10-11-2022,North America,ERP,Online,Consumer,1644.0,1,1354.0,Yes,2022-11-10,4,November,290.0
1044,11-11-2022,Asia,CRM,Online,Business,4474.0,11,1704.0,Yes,2022-11-11,4,November,2770.0
1045,12-11-2022,Asia,CRM,Partner,Business,5113.0,13,1444.0,Yes,2022-11-12,4,November,3669.0
1046,13-11-2022,South America,Antivirus,Partner,Consumer,3871.0,1,1682.0,Yes,2022-11-13,4,November,2189.0
1047,14-11-2022,Asia,CRM,Direct Sales,Consumer,4456.0,2,1545.0,No,2022-11-14,4,November,2911.0
1048,15-11-2022,Asia,Database,Online,Consumer,4755.0,9,790.0,Yes,2022-11-15,4,November,3965.0
1049,16-11-2022,North America,CRM,Partner,Business,7717.0,13,579.0,Yes,2022-11-16,4,November,7138.0
1050,17-11-2022,South America,ERP,Online,Business,1142.0,5,1855.0,Yes,2022-11-17,4,November,-713.0
1051,18-11-2022,Australia,ERP,Direct Sales,Consumer,7713.0,9,1918.0,Yes,2022-11-18,4,November,5795.0
1052,19-11-2022,North America,DevTools,Partner,Business,6917.0,13,1590.0,Yes,2022-11-19,4,November,5327.0
1053,20-11-2022,North America,ERP,Partner,Business,7442.0,5,1586.0,No,2022-11-20,4,November,5856.0
1054,21-11-2022,Australia,CRM,Partner,Business,7371.0,15,905.0,No,2022-11-21,4,November,6466.0
1055,22-11-2022,Asia,ERP,Online,Consumer,4759.0,7,1314.0,Yes,2022-11-22,4,November,3445.0
1056,23-11-2022,Europe,Antivirus,Direct Sales,Business,2193.0,14,1988.0,No,2022-11-23,4,November,205.0
1057,24-11-2022,South America,ERP,Online,Business,5413.0,16,1784.0,Yes,2022-11-24,4,November,3629.0
1058,25-11-2022,Europe,Database,Partner,Consumer,9584.0,6,957.0,No,2022-11-25,4,November,8627.0
1059,26-11-2022,Australia,Antivirus,Direct Sales,Consumer,5926.0,2,952.0,No,2022-11-26,4,November,4974.0
1060,27-11-2022,North America,DevTools,Partner,Business,209.0,16,1225.0,Yes,2022-11-27,4,November,-1016.0
1061,28-11-2022,North America,Database,Partner,Consumer,691.0,19,1107.0,Yes,2022-11-28,4,November,-416.0
1062,29-11-2022,South America,CRM,Online,Business,9929.0,5,1057.0,Yes,2022-11-29,4,November,8872.0
1063,30-11-2022,North America,CRM,Partner,Business,812.0,4,1440.0,No,2022-11-30,4,November,-628.0
1064,01-12-2022,North America,CRM,Direct Sales,Consumer,556.0,14,517.0,No,2022-12-01,4,December,39.0
